,Operations O&M Charging Guidelines,,,,,,,,,,,,"REFERENCE ONLY BASED ON ""DUKE"" SYSTEMS - NOT BEING UPDATED"
,"RENEWABLE OPERATIONS RC's, BU's & OU's",,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,75986,XPIS,,
,,,,,,,Pumpjack,DEGSPUMJSO,R303,75550,PPJK,,
,,,,,,,Rambler,DEGSRAMBSO,R409,75947,RAMB,,
,,,,,,,,,,"75986 
75736 in IFS",XRAM,,
,,,,,,,Rio Bravo I,DEGSRIOBR1,R361,75561,RBS1,,
,,,,,,,Rio Bravo II,DEGSRIOBR2,R362,75562,RBS2,,
,,,,,,,River Road,DEGSRIVRD,R359,75848,RVRD,,
,,,,,,,Seaboard,DEGSSEASOL,R355,75559,SEAB,,
,,,,,,,Seville I,DEGSSLSVS1,R338,75822,SVS1,,
,,,,,,,Seville II,DEGSSLSVS2,R336,75821,SVS2,,
,,,,,,,Shawboro (aka Fresh Air Energy),DEGSSHAWSO,R333,75818,SHAW,,
,,,,,,,Shelby (aka Solar Star I),DEGSSLRSTR,R223,75747,STNC,,
,,,,,,,Shoreham,DEGSSHORES,R370,75872,SHSC,,
,,,,,,,Speedway,DEGSSPEEDY,R396,77002,SPWY,,
,,,,,,,,,,"75986 
75736 in IFS",XSWY,,
,,,,,,,Stony Knoll,DEGSSTONEY,R397,77002,STNY,,
,,,,,,,,,,"75986 
75736 in IFS",XSTN,,
,,,,,,,Sunbury (aka SolNCPower6),DEGSSUNSOL,R321,75552,SUNB,,
,,,,,,,Sunset (aka SF City 1),DEGSSFCTY1,R253,75722,DSFL,,
,,,,,,,Tarboro,DEGSTARBSO,R341,75841,TARB,,
,,,,,,,Taylorsville ,DEGSTAYLRV,R233,75671,DTAY,,
,,,,,,,TX Solar I (aka Blue Wing),DEGSTXSOLR,R222,75745,TXS1,,
,,,,,,,Victory,DEGSVICTSO,R360,75849,VICT,,
,,,,,,,Washington Airport,DEGSWWASOL,R295,75640,DWWA,,
,,,,,,,Washington Millfield,DEGSWMSOLR,R294,75639,DWMS,,
,,,,,,,Washington White Post ,DEGSWWPSOL,R275,75734,DWPS,,
,,,,,,,Whitakers,DEGSWHITKR,R310,75807,WHIT (WHTK in IFS),,
,COD for future sites as noted on Jul 2023 score card,,,,,,Wildflower (COD 3/24),,R492,77031,WLDF,,
,,,,,,,Wildwood I,DEGSWILWSO,R304,75780,WDWD,,
,,,,,,,Wildwood II,DEGSWWOOD2,R363,75563,WDW2,,
,,,,,,,Windsor Cooper Hill,DEGSWCHSOL,R301,75803,DWCH,,
,,,,,,,Winton,DEGSWINTSO,R342,75842,WINT,,
,,,,,,,Woodland,DEGSWOODLD,R356,75560,WOOD,,
