Description,Company ID,Location,Account,Department,Project,Project Name
Solar O&M: Major Corrective,75552,SUNB,,,SUNB25M007,Solar O&M: Major Corrective
Modules O&M: Preventative Mntce,75552,SUNB,,,SUNB25P001,Modules O&M: Preventative Mntce
Modules O&M: Minor Corrective,75552,SUNB,,,SUNB25P002,Modules O&M: Minor Corrective
Modules O&M: Major Corrective,75552,SUNB,,,SUNB25P003,Modules O&M: Major Corrective
Modules O&M: Panel Cleaning,75552,SUNB,,,SUNB25P004,Modules O&M: Panel Cleaning
BoP: Elec BoP: Corrective,75553,CONE,,,CONE25B001,BoP: Elec BoP: Corrective
BoP: Elec BoP: Preventative,75553,CONE,,,CONE25B002,BoP: Elec BoP: Preventative
BoP: Met Mast/Met Station BoP,75553,CONE,,,CONE25B003,BoP: Met Mast/Met Station BoP
BoP: Vegetation Management ,75553,CONE,,,CONE25B004,BoP: Vegetation Management 
BoP: Civil BoP,75553,CONE,,,CONE25B005,BoP: Civil BoP
Preventative Mntce: Site Non-Tech,75553,CONE,,,CONE25G002,Preventative Mntce: Site Non-Tech
Solar O&M: Minor Corrective,75553,CONE,,,CONE25G005,Solar O&M: Minor Corrective
Preventative Mntce: Site ,75553,CONE,,,CONE25G006,Preventative Mntce: Site 
Ops Support: Site Specific,75553,CONE,,,CONE25G007,Ops Support: Site Specific
Issuance Fee,75553,CONE,,,CONE25G008,Issuance Fee
Community Benefit,75553,CONE,,,CONE25G009,Community Benefit
NERC Compliance,75553,CONE,,,CONE25G010,NERC Compliance
Environmental Compliance,75553,CONE,,,CONE25G011,Environmental Compliance
Facilities,75553,CONE,,,CONE25G012,Facilities
Information Technology,75553,CONE,,,CONE25G013,IT
Light & Heat,75553,CONE,,,CONE25G014,Light & Heat
Interconnection Fees,75553,CONE,,,CONE25G015,Interconnection Fees
Waste Management,75553,CONE,,,CONE25G016,Waste Management
Site Security,75553,CONE,,,CONE25G017,Site Security
IT: Telecoms,75553,CONE,,,CONE25G018,IT: Telecoms
Inverter O&M: Preventative Mntce,75553,CONE,,,CONE25I001,Inverter O&M: Preventative Mntce
Inverter O&M: Minor Corrective,75553,CONE,,,CONE25I002,Inverter O&M: Minor Corrective
Inverter O&M: Major Corrective,75553,CONE,,,CONE25I003,Inverter O&M: Major Corrective
Solar O&M: Major Corrective,75553,CONE,,,CONE25M007,Solar O&M: Major Corrective
Modules O&M: Preventative Mntce,75553,CONE,,,CONE25P001,Modules O&M: Preventative Mntce
Modules O&M: Minor Corrective,75553,CONE,,,CONE25P002,Modules O&M: Minor Corrective
Modules O&M: Major Corrective,75553,CONE,,,CONE25P003,Modules O&M: Major Corrective
Modules O&M: Panel Cleaning,75553,CONE,,,CONE25P004,Modules O&M: Panel Cleaning
BoP: Elec BoP: Corrective,75554,HERT,,,HERT25B001,BoP: Elec BoP: Corrective
BoP: Elec BoP: Preventative,75554,HERT,,,HERT25B002,BoP: Elec BoP: Preventative
BoP: Met Mast/Met Station BoP,75554,HERT,,,HERT25B003,BoP: Met Mast/Met Station BoP
BoP: Vegetation Management ,75554,HERT,,,HERT25B004,BoP: Vegetation Management 
BoP: Civil BoP,75554,HERT,,,HERT25B005,BoP: Civil BoP
Preventative Mntce: Site Non-Tech,75554,HERT,,,HERT25G002,Preventative Mntce: Site Non-Tech
Solar O&M: Minor Corrective,75554,HERT,,,HERT25G005,Solar O&M: Minor Corrective
Preventative Mntce: Site ,75554,HERT,,,HERT25G006,Preventative Mntce: Site 
Ops Support: Site Specific,75554,HERT,,,HERT25G007,Ops Support: Site Specific
Issuance Fee,75554,HERT,,,HERT25G008,Issuance Fee
Community Benefit,75554,HERT,,,HERT25G009,Community Benefit
Environmental Compliance,75554,HERT,,,HERT25G011,Environmental Compliance
Facilities,75554,HERT,,,HERT25G012,Facilities
Information Technology,75554,HERT,,,HERT25G013,IT
Light & Heat,75554,HERT,,,HERT25G014,Light & Heat
Interconnection Fees,75554,HERT,,,HERT25G015,Interconnection Fees
Waste Management,75554,HERT,,,HERT25G016,Waste Management
Site Security,75554,HERT,,,HERT25G017,Site Security
IT: Telecoms,75554,HERT,,,HERT25G018,IT: Telecoms
Inverter O&M: Preventative Mntce,75554,HERT,,,HERT25I001,Inverter O&M: Preventative Mntce
Inverter O&M: Minor Corrective,75554,HERT,,,HERT25I002,Inverter O&M: Minor Corrective
Inverter O&M: Major Corrective,75554,HERT,,,HERT25I003,Inverter O&M: Major Corrective
Solar O&M: Major Corrective,75554,HERT,,,HERT25M007,Solar O&M: Major Corrective
Modules O&M: Preventative Mntce,75554,HERT,,,HERT25P001,Modules O&M: Preventative Mntce
Modules O&M: Minor Corrective,75554,HERT,,,HERT25P002,Modules O&M: Minor Corrective
Modules O&M: Major Corrective,75554,HERT,,,HERT25P003,Modules O&M: Major Corrective
Modules O&M: Panel Cleaning,75554,HERT,,,HERT25P004,Modules O&M: Panel Cleaning
BoP: Elec BoP: Corrective,75555,CAP1,,,CAP125B001,BoP: Elec BoP: Corrective
BoP: Elec BoP: Preventative,75555,CAP1,,,CAP125B002,BoP: Elec BoP: Preventative
BoP: Met Mast/Met Station BoP,75555,CAP1,,,CAP125B003,BoP: Met Mast/Met Station BoP
BoP: Vegetation Management ,75555,CAP1,,,CAP125B004,BoP: Vegetation Management 
BoP: Civil BoP,75555,CAP1,,,CAP125B005,BoP: Civil BoP
Preventative Mntce: Site Non-Tech,75555,CAP1,,,CAP125G002,Preventative Mntce: Site Non-Tech
Solar O&M: Minor Corrective,75555,CAP1,,,CAP125G005,Solar O&M: Minor Corrective
Preventative Mntce: Site ,75555,CAP1,,,CAP125G006,Preventative Mntce: Site 
Ops Support: Site Specific,75555,CAP1,,,CAP125G007,Ops Support: Site Specific
Issuance Fee,75555,CAP1,,,CAP125G008,Issuance Fee
Community Benefit,75555,CAP1,,,CAP125G009,Community Benefit
NERC Compliance,75555,CAP1,,,CAP125G010,NERC Compliance
Environmental Compliance,75555,CAP1,,,CAP125G011,Environmental Compliance
Facilities,75555,CAP1,,,CAP125G012,Facilities
Information Technology,75555,CAP1,,,CAP125G013,IT
Light & Heat,75555,CAP1,,,CAP125G014,Light & Heat
Interconnection Fees,75555,CAP1,,,CAP125G015,Interconnection Fees
Waste Management,75555,CAP1,,,CAP125G016,Waste Management
Site Security,75555,CAP1,,,CAP125G017,Site Security
IT: Telecoms,75555,CAP1,,,CAP125G018,IT: Telecoms
Inverter O&M: Preventative Mntce,75555,CAP1,,,CAP125I001,Inverter O&M: Preventative Mntce
Inverter O&M: Minor Corrective,75555,CAP1,,,CAP125I002,Inverter O&M: Minor Corrective
Inverter O&M: Major Corrective,75555,CAP1,,,CAP125I003,Inverter O&M: Major Corrective
Solar O&M: Major Corrective,75555,CAP1,,,CAP125M007,Solar O&M: Major Corrective
Modules O&M: Preventative Mntce,75555,CAP1,,,CAP125P001,Modules O&M: Preventative Mntce
Modules O&M: Minor Corrective,75555,CAP1,,,CAP125P002,Modules O&M: Minor Corrective
Modules O&M: Major Corrective,75555,CAP1,,,CAP125P003,Modules O&M: Major Corrective
Modules O&M: Panel Cleaning,75555,CAP1,,,CAP125P004,Modules O&M: Panel Cleaning
BoP: Elec BoP: Corrective,75557,BOAT,,,BOAT25B001,BoP: Elec BoP: Corrective
BoP: Elec BoP: Preventative,75557,BOAT,,,BOAT25B002,BoP: Elec BoP: Preventative
BoP: Met Mast/Met Station BoP,75557,BOAT,,,BOAT25B003,BoP: Met Mast/Met Station BoP
BoP: Vegetation Management ,75557,BOAT,,,BOAT25B004,BoP: Vegetation Management 
BoP: Civil BoP,75557,BOAT,,,BOAT25B005,BoP: Civil BoP
Preventative Mntce: Site Non-Tech,75557,BOAT,,,BOAT25G002,Preventative Mntce: Site Non-Tech
Solar O&M: Minor Corrective,75557,BOAT,,,BOAT25G005,Solar O&M: Minor Corrective
Preventative Mntce: Site ,75557,BOAT,,,BOAT25G006,Preventative Mntce: Site 
Ops Support: Site Specific,75557,BOAT,,,BOAT25G007,Ops Support: Site Specific
Issuance Fee,75557,BOAT,,,BOAT25G008,Issuance Fee
Community Benefit,75557,BOAT,,,BOAT25G009,Community Benefit
Environmental Compliance,75557,BOAT,,,BOAT25G011,Environmental Compliance
Facilities,75557,BOAT,,,BOAT25G012,Facilities
Information Technology,75557,BOAT,,,BOAT25G013,IT
Light & Heat,75557,BOAT,,,BOAT25G014,Light & Heat
Interconnection Fees,75557,BOAT,,,BOAT25G015,Interconnection Fees
Waste Management,75557,BOAT,,,BOAT25G016,Waste Management
Site Security,75557,BOAT,,,BOAT25G017,Site Security
IT: Telecoms,75557,BOAT,,,BOAT25G018,IT: Telecoms
Inverter O&M: Preventative Mntce,75557,BOAT,,,BOAT25I001,Inverter O&M: Preventative Mntce
Inverter O&M: Minor Corrective,75557,BOAT,,,BOAT25I002,Inverter O&M: Minor Corrective
Inverter O&M: Major Corrective,75557,BOAT,,,BOAT25I003,Inverter O&M: Major Corrective
Solar O&M: Major Corrective,75557,BOAT,,,BOAT25M007,Solar O&M: Major Corrective
Modules O&M: Preventative Mntce,75557,BOAT,,,BOAT25P001,Modules O&M: Preventative Mntce
Modules O&M: Minor Corrective,75557,BOAT,,,BOAT25P002,Modules O&M: Minor Corrective
Modules O&M: Major Corrective,75557,BOAT,,,BOAT25P003,Modules O&M: Major Corrective
Modules O&M: Panel Cleaning,75557,BOAT,,,BOAT25P004,Modules O&M: Panel Cleaning
BoP: Elec BoP: Corrective,75558,GARY,,,GARY25B001,BoP: Elec BoP: Corrective
BoP: Elec BoP: Preventative,75558,GARY,,,GARY25B002,BoP: Elec BoP: Preventative
BoP: Met Mast/Met Station BoP,75558,GARY,,,GARY25B003,BoP: Met Mast/Met Station BoP
BoP: Vegetation Management ,75558,GARY,,,GARY25B004,BoP: Vegetation Management 
BoP: Civil BoP,75558,GARY,,,GARY25B005,BoP: Civil BoP
Preventative Mntce: Site Non-Tech,75558,GARY,,,GARY25G002,Preventative Mntce: Site Non-Tech
Solar O&M: Minor Corrective,75558,GARY,,,GARY25G005,Solar O&M: Minor Corrective
Preventative Mntce: Site ,75558,GARY,,,GARY25G006,Preventative Mntce: Site 
Ops Support: Site Specific,75558,GARY,,,GARY25G007,Ops Support: Site Specific
Issuance Fee,75558,GARY,,,GARY25G008,Issuance Fee
Community Benefit,75558,GARY,,,GARY25G009,Community Benefit
Environmental Compliance,75558,GARY,,,GARY25G011,Environmental Compliance
Facilities,75558,GARY,,,GARY25G012,Facilities
Information Technology,75558,GARY,,,GARY25G013,IT
Light & Heat,75558,GARY,,,GARY25G014,Light & Heat
Interconnection Fees,75558,GARY,,,GARY25G015,Interconnection Fees
Waste Management,75558,GARY,,,GARY25G016,Waste Management
Site Security,75558,GARY,,,GARY25G017,Site Security
IT: Telecoms,75558,GARY,,,GARY25G018,IT: Telecoms
Inverter O&M: Preventative Mntce,75558,GARY,,,GARY25I001,Inverter O&M: Preventative Mntce
Inverter O&M: Minor Corrective,75558,GARY,,,GARY25I002,Inverter O&M: Minor Corrective
Inverter O&M: Major Corrective,75558,GARY,,,GARY25I003,Inverter O&M: Major Corrective
Solar O&M: Major Corrective,75558,GARY,,,GARY25M007,Solar O&M: Major Corrective
Modules O&M: Preventative Mntce,75558,GARY,,,GARY25P001,Modules O&M: Preventative Mntce
Modules O&M: Minor Corrective,75558,GARY,,,GARY25P002,Modules O&M: Minor Corrective
Modules O&M: Major Corrective,75558,GARY,,,GARY25P003,Modules O&M: Major Corrective
Modules O&M: Panel Cleaning,75558,GARY,,,GARY25P004,Modules O&M: Panel Cleaning
BoP: Elec BoP: Corrective,75559,SEAB,,,SEAB25B001,BoP: Elec BoP: Corrective
BoP: Elec BoP: Preventative,75559,SEAB,,,SEAB25B002,BoP: Elec BoP: Preventative
BoP: Met Mast/Met Station BoP,75559,SEAB,,,SEAB25B003,BoP: Met Mast/Met Station BoP
BoP: Vegetation Management ,75559,SEAB,,,SEAB25B004,BoP: Vegetation Management 
BoP: Civil BoP,75559,SEAB,,,SEAB25B005,BoP: Civil BoP
Preventative Mntce: Site Non-Tech,75559,SEAB,,,SEAB25G002,Preventative Mntce: Site Non-Tech
Solar O&M: Minor Corrective,75559,SEAB,,,SEAB25G005,Solar O&M: Minor Corrective
Preventative Mntce: Site ,75559,SEAB,,,SEAB25G006,Preventative Mntce: Site 
Ops Support: Site Specific,75559,SEAB,,,SEAB25G007,Ops Support: Site Specific
Issuance Fee,75559,SEAB,,,SEAB25G008,Issuance Fee
Community Benefit,75559,SEAB,,,SEAB25G009,Community Benefit
Environmental Compliance,75559,SEAB,,,SEAB25G011,Environmental Compliance
Facilities,75559,SEAB,,,SEAB25G012,Facilities
Information Technology,75559,SEAB,,,SEAB25G013,IT
Light & Heat,75559,SEAB,,,SEAB25G014,Light & Heat
Interconnection Fees,75559,SEAB,,,SEAB25G015,Interconnection Fees
Waste Management,75559,SEAB,,,SEAB25G016,Waste Management
Site Security,75559,SEAB,,,SEAB25G017,Site Security
IT: Telecoms,75559,SEAB,,,SEAB25G018,IT: Telecoms
