Description,Company ID,Location,Account,Department,Project,Project Name
Waste Management,75679,CM2W,,,CM2W25G016,Waste Management
Site Security,75679,CM2W,,,CM2W25G017,Site Security
IT: Telecoms,75679,CM2W,,,CM2W25G018,IT: Telecoms
Major Corrective: Gearbox,75679,CM2W,,,CM2W25M001,Major Corrective: Gearbox
Major Corrective: Generator,75679,CM2W,,,CM2W25M002,Major Corrective: Generator
Major Corrective:Main bearing,75679,CM2W,,,CM2W25M003,Major Corrective:Main bearing
Blade Corrective,75679,CM2W,,,CM2W25M004,Blade Corrective
Cimarron T39 Insurance Claim,75679,CM2W,,,INCM20725,Cimarron T39 Insurance Claim
BoP: Elec BoP: Corrective,75683,LV1A,,,LV1A25B001,BoP: Elec BoP: Corrective
BoP: Elec BoP: Preventative,75683,LV1A,,,LV1A25B002,BoP: Elec BoP: Preventative
BoP: Met Mast/Met Station BoP,75683,LV1A,,,LV1A25B003,BoP: Met Mast/Met Station BoP
BoP: Civil BoP,75683,LV1A,,,LV1A25B005,BoP: Civil BoP
Preventative Mntce: Site Non-Tech,75683,LV1A,,,LV1A25G002,Preventative Mntce: Site Non-Tech
Blade Preventative,75683,LV1A,,,LV1A25G003,Blade Preventative
Turbine O&M: Minor Corrective,75683,LV1A,,,LV1A25G005,Turbine O&M: Minor Corrective
Preventative Mntce: Site ,75683,LV1A,,,LV1A25G006,Preventative Mntce: Site 
Ops Support: Site Specific,75683,LV1A,,,LV1A25G007,Ops Support: Site Specific
Issuance Fee,75683,LV1A,,,LV1A25G008,Issuance Fee
Community Benefit,75683,LV1A,,,LV1A25G009,Community Benefit
NERC Compliance,75683,LV1A,,,LV1A25G010,NERC Compliance
Environmental Compliance,75683,LV1A,,,LV1A25G011,Environmental Compliance
Facilities,75683,LV1A,,,LV1A25G012,Facilities
Information Technology,75683,LV1A,,,LV1A25G013,IT
Light & Heat,75683,LV1A,,,LV1A25G014,Light & Heat
Interconnection Fees,75683,LV1A,,,LV1A25G015,Interconnection Fees
Waste Management,75683,LV1A,,,LV1A25G016,Waste Management
Site Security,75683,LV1A,,,LV1A25G017,Site Security
IT: Telecoms,75683,LV1A,,,LV1A25G018,IT: Telecoms
Major Corrective: Gearbox,75683,LV1A,,,LV1A25M001,Major Corrective: Gearbox
Major Corrective: Generator,75683,LV1A,,,LV1A25M002,Major Corrective: Generator
Major Corrective:Main bearing,75683,LV1A,,,LV1A25M003,Major Corrective:Main bearing
Blade Corrective,75683,LV1A,,,LV1A25M004,Blade Corrective
Major Corrective: Transformer,75683,LV1A,,,LV1A25M005,Major Corrective: Transformer
Major Corrective: Blade Bearing,75683,LV1A,,,LV1A25M006,Major Corrective: Blade Bearing
BoP: Elec BoP: Corrective,75689,DCSM,,,DCSM25B001,BoP: Elec BoP: Corrective
BoP: Elec BoP: Preventative,75689,DCSM,,,DCSM25B002,BoP: Elec BoP: Preventative
BoP: Met Mast/Met Station BoP,75689,DCSM,,,DCSM25B003,BoP: Met Mast/Met Station BoP
BoP: Vegetation Management ,75689,DCSM,,,DCSM25B004,BoP: Vegetation Management 
BoP: Civil BoP,75689,DCSM,,,DCSM25B005,BoP: Civil BoP
Preventative Mntce: Site Non-Tech,75689,DCSM,,,DCSM25G002,Preventative Mntce: Site Non-Tech
Solar O&M: Minor Corrective,75689,DCSM,,,DCSM25G005,Solar O&M: Minor Corrective
Preventative Mntce: Site ,75689,DCSM,,,DCSM25G006,Preventative Mntce: Site 
Ops Support: Site Specific,75689,DCSM,,,DCSM25G007,Ops Support: Site Specific
Issuance Fee,75689,DCSM,,,DCSM25G008,Issuance Fee
Community Benefit,75689,DCSM,,,DCSM25G009,Community Benefit
Environmental Compliance,75689,DCSM,,,DCSM25G011,Environmental Compliance
Facilities,75689,DCSM,,,DCSM25G012,Facilities
Information Technology,75689,DCSM,,,DCSM25G013,IT
Light & Heat,75689,DCSM,,,DCSM25G014,Light & Heat
Interconnection Fees,75689,DCSM,,,DCSM25G015,Interconnection Fees
Waste Management,75689,DCSM,,,DCSM25G016,Waste Management
Site Security,75689,DCSM,,,DCSM25G017,Site Security
IT: Telecoms,75689,DCSM,,,DCSM25G018,IT: Telecoms
Inverter O&M: Preventative Mntce,75689,DCSM,,,DCSM25I001,Inverter O&M: Preventative Mntce
Inverter O&M: Minor Corrective,75689,DCSM,,,DCSM25I002,Inverter O&M: Minor Corrective
Inverter O&M: Major Corrective,75689,DCSM,,,DCSM25I003,Inverter O&M: Major Corrective
Solar O&M: Major Corrective,75689,DCSM,,,DCSM25M007,Solar O&M: Major Corrective
Modules O&M: Preventative Mntce,75689,DCSM,,,DCSM25P001,Modules O&M: Preventative Mntce
Modules O&M: Minor Corrective,75689,DCSM,,,DCSM25P002,Modules O&M: Minor Corrective
Modules O&M: Major Corrective,75689,DCSM,,,DCSM25P003,Modules O&M: Major Corrective
Modules O&M: Panel Cleaning,75689,DCSM,,,DCSM25P004,Modules O&M: Panel Cleaning
BoP: Elec BoP: Corrective,75712,DNCR,,,DNCR25B001,BoP: Elec BoP: Corrective
BoP: Elec BoP: Preventative,75712,DNCR,,,DNCR25B002,BoP: Elec BoP: Preventative
BoP: Met Mast/Met Station BoP,75712,DNCR,,,DNCR25B003,BoP: Met Mast/Met Station BoP
BoP: Vegetation Management ,75712,DNCR,,,DNCR25B004,BoP: Vegetation Management 
BoP: Civil BoP,75712,DNCR,,,DNCR25B005,BoP: Civil BoP
Preventative Mntce: Site Non-Tech,75712,DNCR,,,DNCR25G002,Preventative Mntce: Site Non-Tech
Solar O&M: Minor Corrective,75712,DNCR,,,DNCR25G005,Solar O&M: Minor Corrective
Preventative Mntce: Site ,75712,DNCR,,,DNCR25G006,Preventative Mntce: Site 
Ops Support: Site Specific,75712,DNCR,,,DNCR25G007,Ops Support: Site Specific
Issuance Fee,75712,DNCR,,,DNCR25G008,Issuance Fee
Community Benefit,75712,DNCR,,,DNCR25G009,Community Benefit
Environmental Compliance,75712,DNCR,,,DNCR25G011,Environmental Compliance
Facilities,75712,DNCR,,,DNCR25G012,Facilities
Information Technology,75712,DNCR,,,DNCR25G013,IT
Light & Heat,75712,DNCR,,,DNCR25G014,Light & Heat
Interconnection Fees,75712,DNCR,,,DNCR25G015,Interconnection Fees
Waste Management,75712,DNCR,,,DNCR25G016,Waste Management
Site Security,75712,DNCR,,,DNCR25G017,Site Security
IT: Telecoms,75712,DNCR,,,DNCR25G018,IT: Telecoms
Inverter O&M: Preventative Mntce,75712,DNCR,,,DNCR25I001,Inverter O&M: Preventative Mntce
Inverter O&M: Minor Corrective,75712,DNCR,,,DNCR25I002,Inverter O&M: Minor Corrective
Inverter O&M: Major Corrective,75712,DNCR,,,DNCR25I003,Inverter O&M: Major Corrective
Solar O&M: Major Corrective,75712,DNCR,,,DNCR25M007,Solar O&M: Major Corrective
Modules O&M: Preventative Mntce,75712,DNCR,,,DNCR25P001,Modules O&M: Preventative Mntce
Modules O&M: Minor Corrective,75712,DNCR,,,DNCR25P002,Modules O&M: Minor Corrective
Modules O&M: Major Corrective,75712,DNCR,,,DNCR25P003,Modules O&M: Major Corrective
Modules O&M: Panel Cleaning,75712,DNCR,,,DNCR25P004,Modules O&M: Panel Cleaning
BoP: Elec BoP: Corrective,75715,SHRW,,,SHRW25B001,BoP: Elec BoP: Corrective
BoP: Elec BoP: Preventative,75715,SHRW,,,SHRW25B002,BoP: Elec BoP: Preventative
BoP: Met Mast/Met Station BoP,75715,SHRW,,,SHRW25B003,BoP: Met Mast/Met Station BoP
BoP: Civil BoP,75715,SHRW,,,SHRW25B005,BoP: Civil BoP
Preventative Mntce: Site Non-Tech,75715,SHRW,,,SHRW25G002,Preventative Mntce: Site Non-Tech
Blade Preventative,75715,SHRW,,,SHRW25G003,Blade Preventative
Turbine O&M: Minor Corrective,75715,SHRW,,,SHRW25G005,Turbine O&M: Minor Corrective
Preventative Mntce: Site ,75715,SHRW,,,SHRW25G006,Preventative Mntce: Site 
Ops Support: Site Specific,75715,SHRW,,,SHRW25G007,Ops Support: Site Specific
Issuance Fee,75715,SHRW,,,SHRW25G008,Issuance Fee
Community Benefit,75715,SHRW,,,SHRW25G009,Community Benefit
Environmental Compliance,75715,SHRW,,,SHRW25G011,Environmental Compliance
Facilities,75715,SHRW,,,SHRW25G012,Facilities
Information Technology,75715,SHRW,,,SHRW25G013,IT
Light & Heat,75715,SHRW,,,SHRW25G014,Light & Heat
Interconnection Fees,75715,SHRW,,,SHRW25G015,Interconnection Fees
Waste Management,75715,SHRW,,,SHRW25G016,Waste Management
Site Security,75715,SHRW,,,SHRW25G017,Site Security
IT: Telecoms,75715,SHRW,,,SHRW25G018,IT: Telecoms
Major Corrective: Gearbox,75715,SHRW,,,SHRW25M001,Major Corrective: Gearbox
Major Corrective: Generator,75715,SHRW,,,SHRW25M002,Major Corrective: Generator
Major Corrective:Main bearing,75715,SHRW,,,SHRW25M003,Major Corrective:Main bearing
Blade Corrective,75715,SHRW,,,SHRW25M004,Blade Corrective
BoP: Elec BoP: Corrective,75717,DAJ1,,,DAJ125B001,BoP: Elec BoP: Corrective
BoP: Elec BoP: Preventative,75717,DAJ1,,,DAJ125B002,BoP: Elec BoP: Preventative
BoP: Met Mast/Met Station BoP,75717,DAJ1,,,DAJ125B003,BoP: Met Mast/Met Station BoP
BoP: Vegetation Management ,75717,DAJ1,,,DAJ125B004,BoP: Vegetation Management 
BoP: Civil BoP,75717,DAJ1,,,DAJ125B005,BoP: Civil BoP
Preventative Mntce: Site Non-Tech,75717,DAJ1,,,DAJ125G002,Preventative Mntce: Site Non-Tech
Solar O&M: Minor Corrective,75717,DAJ1,,,DAJ125G005,Solar O&M: Minor Corrective
Preventative Mntce: Site ,75717,DAJ1,,,DAJ125G006,Preventative Mntce: Site 
Ops Support: Site Specific,75717,DAJ1,,,DAJ125G007,Ops Support: Site Specific
Issuance Fee,75717,DAJ1,,,DAJ125G008,Issuance Fee
Community Benefit,75717,DAJ1,,,DAJ125G009,Community Benefit
Environmental Compliance,75717,DAJ1,,,DAJ125G011,Environmental Compliance
Facilities,75717,DAJ1,,,DAJ125G012,Facilities
Information Technology,75717,DAJ1,,,DAJ125G013,IT
Light & Heat,75717,DAJ1,,,DAJ125G014,Light & Heat
Interconnection Fees,75717,DAJ1,,,DAJ125G015,Interconnection Fees
Waste Management,75717,DAJ1,,,DAJ125G016,Waste Management
Site Security,75717,DAJ1,,,DAJ125G017,Site Security
IT: Telecoms,75717,DAJ1,,,DAJ125G018,IT: Telecoms
Inverter O&M: Preventative Mntce,75717,DAJ1,,,DAJ125I001,Inverter O&M: Preventative Mntce
Inverter O&M: Minor Corrective,75717,DAJ1,,,DAJ125I002,Inverter O&M: Minor Corrective
Inverter O&M: Major Corrective,75717,DAJ1,,,DAJ125I003,Inverter O&M: Major Corrective
Solar O&M: Major Corrective,75717,DAJ1,,,DAJ125M007,Solar O&M: Major Corrective
Modules O&M: Preventative Mntce,75717,DAJ1,,,DAJ125P001,Modules O&M: Preventative Mntce
Modules O&M: Minor Corrective,75717,DAJ1,,,DAJ125P002,Modules O&M: Minor Corrective
Modules O&M: Major Corrective,75717,DAJ1,,,DAJ125P003,Modules O&M: Major Corrective
Modules O&M: Panel Cleaning,75717,DAJ1,,,DAJ125P004,Modules O&M: Panel Cleaning
BoP: Elec BoP: Corrective,75718,DBS1,,,DBS125B001,BoP: Elec BoP: Corrective
BoP: Elec BoP: Preventative,75718,DBS1,,,DBS125B002,BoP: Elec BoP: Preventative
BoP: Met Mast/Met Station BoP,75718,DBS1,,,DBS125B003,BoP: Met Mast/Met Station BoP
BoP: Vegetation Management ,75718,DBS1,,,DBS125B004,BoP: Vegetation Management 
BoP: Civil BoP,75718,DBS1,,,DBS125B005,BoP: Civil BoP
Preventative Mntce: Site Non-Tech,75718,DBS1,,,DBS125G002,Preventative Mntce: Site Non-Tech
Solar O&M: Minor Corrective,75718,DBS1,,,DBS125G005,Solar O&M: Minor Corrective
Preventative Mntce: Site ,75718,DBS1,,,DBS125G006,Preventative Mntce: Site 
Ops Support: Site Specific,75718,DBS1,,,DBS125G007,Ops Support: Site Specific
Issuance Fee,75718,DBS1,,,DBS125G008,Issuance Fee
Community Benefit,75718,DBS1,,,DBS125G009,Community Benefit
Environmental Compliance,75718,DBS1,,,DBS125G011,Environmental Compliance
Facilities,75718,DBS1,,,DBS125G012,Facilities
Information Technology,75718,DBS1,,,DBS125G013,IT
Light & Heat,75718,DBS1,,,DBS125G014,Light & Heat
Interconnection Fees,75718,DBS1,,,DBS125G015,Interconnection Fees
Waste Management,75718,DBS1,,,DBS125G016,Waste Management
Site Security,75718,DBS1,,,DBS125G017,Site Security
IT: Telecoms,75718,DBS1,,,DBS125G018,IT: Telecoms
Inverter O&M: Preventative Mntce,75718,DBS1,,,DBS125I001,Inverter O&M: Preventative Mntce
Inverter O&M: Minor Corrective,75718,DBS1,,,DBS125I002,Inverter O&M: Minor Corrective
Inverter O&M: Major Corrective,75718,DBS1,,,DBS125I003,Inverter O&M: Major Corrective
Solar O&M: Major Corrective,75718,DBS1,,,DBS125M007,Solar O&M: Major Corrective
Modules O&M: Preventative Mntce,75718,DBS1,,,DBS125P001,Modules O&M: Preventative Mntce
Modules O&M: Minor Corrective,75718,DBS1,,,DBS125P002,Modules O&M: Minor Corrective
Modules O&M: Major Corrective,75718,DBS1,,,DBS125P003,Modules O&M: Major Corrective
Modules O&M: Panel Cleaning,75718,DBS1,,,DBS125P004,Modules O&M: Panel Cleaning
BoP: Elec BoP: Corrective,75722,DSFL,,,DSFL25B001,BoP: Elec BoP: Corrective
BoP: Elec BoP: Preventative,75722,DSFL,,,DSFL25B002,BoP: Elec BoP: Preventative
BoP: Met Mast/Met Station BoP,75722,DSFL,,,DSFL25B003,BoP: Met Mast/Met Station BoP
BoP: Vegetation Management ,75722,DSFL,,,DSFL25B004,BoP: Vegetation Management 
BoP: Civil BoP,75722,DSFL,,,DSFL25B005,BoP: Civil BoP
Preventative Mntce: Site Non-Tech,75722,DSFL,,,DSFL25G002,Preventative Mntce: Site Non-Tech
LTSA,75722,DSFL,,,DSFL25G004,LTSA
Solar O&M: Minor Corrective,75722,DSFL,,,DSFL25G005,Solar O&M: Minor Corrective
Preventative Mntce: Site ,75722,DSFL,,,DSFL25G006,Preventative Mntce: Site 
Ops Support: Site Specific,75722,DSFL,,,DSFL25G007,Ops Support: Site Specific
Issuance Fee,75722,DSFL,,,DSFL25G008,Issuance Fee
Community Benefit,75722,DSFL,,,DSFL25G009,Community Benefit
Environmental Compliance,75722,DSFL,,,DSFL25G011,Environmental Compliance
Facilities,75722,DSFL,,,DSFL25G012,Facilities
Information Technology,75722,DSFL,,,DSFL25G013,IT
Light & Heat,75722,DSFL,,,DSFL25G014,Light & Heat
Interconnection Fees,75722,DSFL,,,DSFL25G015,Interconnection Fees
Waste Management,75722,DSFL,,,DSFL25G016,Waste Management
Site Security,75722,DSFL,,,DSFL25G017,Site Security
IT: Telecoms,75722,DSFL,,,DSFL25G018,IT: Telecoms
Inverter O&M: Preventative Mntce,75722,DSFL,,,DSFL25I001,Inverter O&M: Preventative Mntce
Inverter O&M: Minor Corrective,75722,DSFL,,,DSFL25I002,Inverter O&M: Minor Corrective
Inverter O&M: Major Corrective,75722,DSFL,,,DSFL25I003,Inverter O&M: Major Corrective
Solar O&M: Major Corrective,75722,DSFL,,,DSFL25M007,Solar O&M: Major Corrective
Modules O&M: Preventative Mntce,75722,DSFL,,,DSFL25P001,Modules O&M: Preventative Mntce
Modules O&M: Minor Corrective,75722,DSFL,,,DSFL25P002,Modules O&M: Minor Corrective
Modules O&M: Major Corrective,75722,DSFL,,,DSFL25P003,Modules O&M: Major Corrective
Modules O&M: Panel Cleaning,75722,DSFL,,,DSFL25P004,Modules O&M: Panel Cleaning
BoP: Elec BoP: Corrective,75723,LV1B,,,LV1B25B001,BoP: Elec BoP: Corrective
BoP: Elec BoP: Preventative,75723,LV1B,,,LV1B25B002,BoP: Elec BoP: Preventative
BoP: Met Mast/Met Station BoP,75723,LV1B,,,LV1B25B003,BoP: Met Mast/Met Station BoP
BoP: Civil BoP,75723,LV1B,,,LV1B25B005,BoP: Civil BoP
Preventative Mntce: Site Non-Tech,75723,LV1B,,,LV1B25G002,Preventative Mntce: Site Non-Tech
Blade Preventative,75723,LV1B,,,LV1B25G003,Blade Preventative
Turbine O&M: Minor Corrective,75723,LV1B,,,LV1B25G005,Turbine O&M: Minor Corrective
Preventative Mntce: Site ,75723,LV1B,,,LV1B25G006,Preventative Mntce: Site 
Ops Support: Site Specific,75723,LV1B,,,LV1B25G007,Ops Support: Site Specific
Issuance Fee,75723,LV1B,,,LV1B25G008,Issuance Fee
Community Benefit,75723,LV1B,,,LV1B25G009,Community Benefit
NERC Compliance,75723,LV1B,,,LV1B25G010,NERC Compliance
Environmental Compliance,75723,LV1B,,,LV1B25G011,Environmental Compliance
Facilities,75723,LV1B,,,LV1B25G012,Facilities
Information Technology,75723,LV1B,,,LV1B25G013,IT
Light & Heat,75723,LV1B,,,LV1B25G014,Light & Heat
Interconnection Fees,75723,LV1B,,,LV1B25G015,Interconnection Fees
Waste Management,75723,LV1B,,,LV1B25G016,Waste Management
Site Security,75723,LV1B,,,LV1B25G017,Site Security
IT: Telecoms,75723,LV1B,,,LV1B25G018,IT: Telecoms
Major Corrective: Gearbox,75723,LV1B,,,LV1B25M001,Major Corrective: Gearbox
Major Corrective: Generator,75723,LV1B,,,LV1B25M002,Major Corrective: Generator
Major Corrective:Main bearing,75723,LV1B,,,LV1B25M003,Major Corrective:Main bearing
Blade Corrective,75723,LV1B,,,LV1B25M004,Blade Corrective
Major Corrective: Transformer,75723,LV1B,,,LV1B25M005,Major Corrective: Transformer
Major Corrective: Blade Bearing,75723,LV1B,,,LV1B25M006,Major Corrective: Blade Bearing
BoP: Elec BoP: Corrective,75726,DBMS,,,DBMS25B001,BoP: Elec BoP: Corrective
BoP: Elec BoP: Preventative,75726,DBMS,,,DBMS25B002,BoP: Elec BoP: Preventative
BoP: Met Mast/Met Station BoP,75726,DBMS,,,DBMS25B003,BoP: Met Mast/Met Station BoP
BoP: Vegetation Management ,75726,DBMS,,,DBMS25B004,BoP: Vegetation Management 
BoP: Civil BoP,75726,DBMS,,,DBMS25B005,BoP: Civil BoP
Preventative Mntce: Site Non-Tech,75726,DBMS,,,DBMS25G002,Preventative Mntce: Site Non-Tech
Solar O&M: Minor Corrective,75726,DBMS,,,DBMS25G005,Solar O&M: Minor Corrective
Preventative Mntce: Site ,75726,DBMS,,,DBMS25G006,Preventative Mntce: Site 
Ops Support: Site Specific,75726,DBMS,,,DBMS25G007,Ops Support: Site Specific
Issuance Fee,75726,DBMS,,,DBMS25G008,Issuance Fee
Community Benefit,75726,DBMS,,,DBMS25G009,Community Benefit
Environmental Compliance,75726,DBMS,,,DBMS25G011,Environmental Compliance
Facilities,75726,DBMS,,,DBMS25G012,Facilities
Information Technology,75726,DBMS,,,DBMS25G013,IT
Light & Heat,75726,DBMS,,,DBMS25G014,Light & Heat
Interconnection Fees,75726,DBMS,,,DBMS25G015,Interconnection Fees
Waste Management,75726,DBMS,,,DBMS25G016,Waste Management
Site Security,75726,DBMS,,,DBMS25G017,Site Security
IT: Telecoms,75726,DBMS,,,DBMS25G018,IT: Telecoms
Inverter O&M: Preventative Mntce,75726,DBMS,,,DBMS25I001,Inverter O&M: Preventative Mntce
Inverter O&M: Minor Corrective,75726,DBMS,,,DBMS25I002,Inverter O&M: Minor Corrective
Inverter O&M: Major Corrective,75726,DBMS,,,DBMS25I003,Inverter O&M: Major Corrective
Solar O&M: Major Corrective,75726,DBMS,,,DBMS25M007,Solar O&M: Major Corrective
Modules O&M: Preventative Mntce,75726,DBMS,,,DBMS25P001,Modules O&M: Preventative Mntce
Modules O&M: Minor Corrective,75726,DBMS,,,DBMS25P002,Modules O&M: Minor Corrective
Modules O&M: Major Corrective,75726,DBMS,,,DBMS25P003,Modules O&M: Major Corrective
Modules O&M: Panel Cleaning,75726,DBMS,,,DBMS25P004,Modules O&M: Panel Cleaning
BoP: Elec BoP: Corrective,75729,DATP,,,DATP25B001,BoP: Elec BoP: Corrective
BoP: Elec BoP: Preventative,75729,DATP,,,DATP25B002,BoP: Elec BoP: Preventative
BoP: Met Mast/Met Station BoP,75729,DATP,,,DATP25B003,BoP: Met Mast/Met Station BoP
BoP: Vegetation Management ,75729,DATP,,,DATP25B004,BoP: Vegetation Management 
BoP: Civil BoP,75729,DATP,,,DATP25B005,BoP: Civil BoP
Preventative Mntce: Site Non-Tech,75729,DATP,,,DATP25G002,Preventative Mntce: Site Non-Tech
Solar O&M: Minor Corrective,75729,DATP,,,DATP25G005,Solar O&M: Minor Corrective
Preventative Mntce: Site ,75729,DATP,,,DATP25G006,Preventative Mntce: Site 
Ops Support: Site Specific,75729,DATP,,,DATP25G007,Ops Support: Site Specific
Issuance Fee,75729,DATP,,,DATP25G008,Issuance Fee
Community Benefit,75729,DATP,,,DATP25G009,Community Benefit
Environmental Compliance,75729,DATP,,,DATP25G011,Environmental Compliance
Facilities,75729,DATP,,,DATP25G012,Facilities
Information Technology,75729,DATP,,,DATP25G013,IT
Light & Heat,75729,DATP,,,DATP25G014,Light & Heat
Interconnection Fees,75729,DATP,,,DATP25G015,Interconnection Fees
Waste Management,75729,DATP,,,DATP25G016,Waste Management
Site Security,75729,DATP,,,DATP25G017,Site Security
IT: Telecoms,75729,DATP,,,DATP25G018,IT: Telecoms
Inverter O&M: Preventative Mntce,75729,DATP,,,DATP25I001,Inverter O&M: Preventative Mntce
Inverter O&M: Minor Corrective,75729,DATP,,,DATP25I002,Inverter O&M: Minor Corrective
Inverter O&M: Major Corrective,75729,DATP,,,DATP25I003,Inverter O&M: Major Corrective
Solar O&M: Major Corrective,75729,DATP,,,DATP25M007,Solar O&M: Major Corrective
Modules O&M: Preventative Mntce,75729,DATP,,,DATP25P001,Modules O&M: Preventative Mntce
Modules O&M: Minor Corrective,75729,DATP,,,DATP25P002,Modules O&M: Minor Corrective
Modules O&M: Major Corrective,75729,DATP,,,DATP25P003,Modules O&M: Major Corrective
Modules O&M: Panel Cleaning,75729,DATP,,,DATP25P004,Modules O&M: Panel Cleaning
BoP: Elec BoP: Corrective,75734,DWPS,,,DWPS25B001,BoP: Elec BoP: Corrective
BoP: Elec BoP: Preventative,75734,DWPS,,,DWPS25B002,BoP: Elec BoP: Preventative
BoP: Met Mast/Met Station BoP,75734,DWPS,,,DWPS25B003,BoP: Met Mast/Met Station BoP
BoP: Vegetation Management ,75734,DWPS,,,DWPS25B004,BoP: Vegetation Management 
BoP: Civil BoP,75734,DWPS,,,DWPS25B005,BoP: Civil BoP
Preventative Mntce: Site Non-Tech,75734,DWPS,,,DWPS25G002,Preventative Mntce: Site Non-Tech
Solar O&M: Minor Corrective,75734,DWPS,,,DWPS25G005,Solar O&M: Minor Corrective
Preventative Mntce: Site ,75734,DWPS,,,DWPS25G006,Preventative Mntce: Site 
Ops Support: Site Specific,75734,DWPS,,,DWPS25G007,Ops Support: Site Specific
Issuance Fee,75734,DWPS,,,DWPS25G008,Issuance Fee
Community Benefit,75734,DWPS,,,DWPS25G009,Community Benefit
Environmental Compliance,75734,DWPS,,,DWPS25G011,Environmental Compliance
Facilities,75734,DWPS,,,DWPS25G012,Facilities
Information Technology,75734,DWPS,,,DWPS25G013,IT
Light & Heat,75734,DWPS,,,DWPS25G014,Light & Heat
Interconnection Fees,75734,DWPS,,,DWPS25G015,Interconnection Fees
Waste Management,75734,DWPS,,,DWPS25G016,Waste Management
Site Security,75734,DWPS,,,DWPS25G017,Site Security
IT: Telecoms,75734,DWPS,,,DWPS25G018,IT: Telecoms
Inverter O&M: Preventative Mntce,75734,DWPS,,,DWPS25I001,Inverter O&M: Preventative Mntce
Inverter O&M: Minor Corrective,75734,DWPS,,,DWPS25I002,Inverter O&M: Minor Corrective
Inverter O&M: Major Corrective,75734,DWPS,,,DWPS25I003,Inverter O&M: Major Corrective
Solar O&M: Major Corrective,75734,DWPS,,,DWPS25M007,Solar O&M: Major Corrective
Modules O&M: Preventative Mntce,75734,DWPS,,,DWPS25P001,Modules O&M: Preventative Mntce
Modules O&M: Minor Corrective,75734,DWPS,,,DWPS25P002,Modules O&M: Minor Corrective
Modules O&M: Major Corrective,75734,DWPS,,,DWPS25P003,Modules O&M: Major Corrective
Modules O&M: Panel Cleaning,75734,DWPS,,,DWPS25P004,Modules O&M: Panel Cleaning
Ops Support: NOT Site Specific,75736,CFST,,,CFST25G001,Ops Support: NOT Site Specific
Ops Support: NOT Site Specific,75736,CGBT,,,CGBT25G001,Ops Support: NOT Site Specific
Ops Support: NOT Site Specific,75736,CLCT,,,CLCT25G001,Ops Support: NOT Site Specific
Ops Support: NOT Site Specific,75736,DBMT,,,DBMT25G001,Ops Support: NOT Site Specific
Ops Support: NOT Site Specific,75736,DCSV,,,DCSV25G001,Ops Support: NOT Site Specific
Information Technology,75736,DCSV,,,DCSV25G013,IT
Ops Support: Site Specific,75736,DISN,,,DISN25G007,Ops Support: Site Specific
Corporate Support,75736,DSOL,,,DSOL25G001,Corporate Support
Ops Support: NOT Site Specific,75736,DWCC,,,DWCC25G001,Ops Support: NOT Site Specific
Ops Support: NOT Site Specific,75736,HVLT,,,HVLT25G001,Ops Support: NOT Site Specific
High Voltage Insurance Claim - Flood at site,75736,HVLT,,,INHV0325A,High Voltage Insurance Claim
High Voltage Office Move ,75736,HVLT,,,HVLT25OFMO,High Voltage Office Move 
Corporate Support,75736,ROMM,,,ROMM25G001,Corporate Support
BoP: Elec BoP: Preventative,75736,XBMS,,,XBMS25B002,BoP: Elec BoP: Preventative
BoP: Met Mast/Met Station BoP,75736,XBMS,,,XBMS25B003,BoP: Met Mast/Met Station BoP
BoP: Vegetation Management ,75736,XBMS,,,XBMS25B004,BoP: Vegetation Management 
Preventative Mntce: Site Non-Tech,75736,XBMS,,,XBMS25G002,Preventative Mntce: Site Non-Tech
Preventative Mntce: Site ,75736,XBMS,,,XBMS25G006,Preventative Mntce: Site 
Ops Support: Site Specific,75736,XBMS,,,XBMS25G007,Ops Support: Site Specific
Issuance Fee,75736,XBMS,,,XBMS25G008,Issuance Fee
NERC Compliance,75736,XBMS,,,XBMS25G010,NERC Compliance
Facilities,75736,XBMS,,,XBMS25G012,Facilities
Information Technology,75736,XBMS,,,XBMS25G013,IT
IT: Telecoms,75736,XBMS,,,XBMS25G018,IT: Telecoms
Inverter O&M: Preventative Mntce,75736,XBMS,,,XBMS25I001,Inverter O&M: Preventative Mntce
Modules O&M: Preventative Mntce,75736,XBMS,,,XBMS25P001,Modules O&M: Preventative Mntce
BoP: Elec BoP: Preventative,75736,XBRV,,,XBRV25B002,BoP: Elec BoP: Preventative
BoP: Met Mast/Met Station BoP,75736,XBRV,,,XBRV25B003,BoP: Met Mast/Met Station BoP
BoP: Vegetation Management ,75736,XBRV,,,XBRV25B004,BoP: Vegetation Management 
Preventative Mntce: Site Non-Tech,75736,XBRV,,,XBRV25G002,Preventative Mntce: Site Non-Tech
Preventative Mntce: Site ,75736,XBRV,,,XBRV25G006,Preventative Mntce: Site 
Ops Support: Site Specific,75736,XBRV,,,XBRV25G007,Ops Support: Site Specific
Issuance Fee,75736,XBRV,,,XBRV25G008,Issuance Fee
Information Technology,75736,XBRV,,,XBRV25G013,IT
IT: Telecoms,75736,XBRV,,,XBRV25G018,IT: Telecoms
Inverter O&M: Preventative Mntce,75736,XBRV,,,XBRV25I001,Inverter O&M: Preventative Mntce
Modules O&M: Preventative Mntce,75736,XBRV,,,XBRV25P001,Modules O&M: Preventative Mntce
BoP: Elec BoP: Corrective,75736,XHOL,,,XHOL25B001,BoP: Elec BoP: Corrective
