Description,Company ID,Location,Department,Project,Account,Account Name
TRM Tracker (BF Allocations),"(75736) Deriva Energy Services, LLC",DSOL,8030,,514301,IT Software
ZE Power (BF Allocations),"(75736) Deriva Energy Services, LLC",DSOL,8030,,514301,IT Software
Morningstar (Subscription and Excel Add-in),"(75736) Deriva Energy Services, LLC",DSOL,8030,,514301,IT Software
PSC - GE EMS Support,"(75736) Deriva Energy Services, LLC",DSOL,8030,DSOLITWSB,515200,Consultant Other
Excele Support,"(75736) Deriva Energy Services, LLC",DSOL,8030,DSOLITWSB,515200,Consultant Other
Maximo (Projetech),"(75736) Deriva Energy Services, LLC",DSOL,8030,DSOLITWSBC,514301,IT Software
EZMax (Maximo),"(75736) Deriva Energy Services, LLC",DSOL,8030,DSOLITWSBC,514301,IT Software
PaSTA (Maximo),"(75736) Deriva Energy Services, LLC",DSOL,8030,DSOLITWSBC,514301,IT Software
GEMS / Provider-Computershare,"(75736) Deriva Energy Services, LLC",DSOL,8030,,514301,IT Software
MV-90,"(75736) Deriva Energy Services, LLC",DSOL,8030,DSOLITWSB,514301,IT Software
GE EMS,"(75736) Deriva Energy Services, LLC",DSOL,8030,DSOLITWSB,514301,IT Software
VT Scada,"(75736) Deriva Energy Services, LLC",DSOL,8030,DSOLITWSB,514301,IT Software
Kepware (PI OPC Interface),"(75736) Deriva Energy Services, LLC",DSOL,8030,DSOLITWSB,514301,IT Software
Seeq,"(75736) Deriva Energy Services, LLC",DSOL,8030,DSOLITWS,514301,IT Software
"PI (Multiple Products, AVEVA)","(75736) Deriva Energy Services, LLC",DSOL,8030,DSOLITWS,113200,IT Software
Hartigen PowerOptix,"(75736) Deriva Energy Services, LLC",DSOL,8030,,514301,IT Software
Litmos,"(75736) Deriva Energy Services, LLC",DSOL,8030,,514301,IT Software
Procore ,"(75736) Deriva Energy Services, LLC",DSOL,8030,,514301,IT Software
BenePass,"(75736) Deriva Energy Services, LLC",DSOL,8035,,514301,IT Software
Landworks,"(75736) Deriva Energy Services, LLC",DSOL,8030,,514301,IT Software
Exterro,"(75736) Deriva Energy Services, LLC",DSOL,8035,,514301,IT Software
SimpleLegal,"(75736) Deriva Energy Services, LLC",DSOL,8035,,514301,IT Software
Identiflight - Eagle Imaging,(75785) Top of the World Wind Energy LLC,TOPW,8030,,514301,IT Software
Identiflight - Eagle Imaging,"(75764) Three Buttes Windpower, LLC",TBWP,8030,,514301,IT Software
Identiflight - Eagle Imaging,"(75940) Ledyard Windpower, LLC",LEDY,8030,,514301,IT Software
Identiflight - Eagle Imaging,"(75880) Frontier Windpower II, LLC",FRN2,8030,,514301,IT Software
Poseidon ,"(75736) Deriva Energy Services, LLC",DSOL,8030,DSOLITWIND,514301,IT Software
Onyx,"(75736) Deriva Energy Services, LLC",DSOL,8030,DSOLITWIND,514301,IT Software
Vaisala - Revenue Deviation,"(75736) Deriva Energy Services, LLC",DSOL,8030,DSOLITWSB,514301,IT Software
Milestone,"(75736) Deriva Energy Services, LLC",DSOL,8030,DSOLITSLR,514301,IT Software
Milestonem - DataLink,"(75736) Deriva Energy Services, LLC",DSOL,8030,DSOLITSLR,514301,IT Software
Structrz.com,"(75736) Deriva Energy Services, LLC",DCSV,8030,,514301,IT Software
Holman,"(75736) Deriva Energy Services, LLC",DSOL,8030,DSOLITWSBC,514301,IT Software
System1 (Adapt.Wind),"(75736) Deriva Energy Services, LLC",DSOL,8030,DSOLITWIND,514301,IT Software
"TCM (Gram & Juhl, TCM, TCM Enterprise)",(75785) Top of the World Wind Energy LLC,TOPW,8030,,514301,IT Software
"TCM (Gram & Juhl, TCM, TCM Enterprise)","(75865) Laurel Hill Wind Energy, LLC",CLHW,8030,,514301,IT Software
"TCM (Gram & Juhl, TCM, TCM Enterprise)","(75679) Cimarron Windpower II, LLC",CM2W,8030,,514301,IT Software
"TCM (Gram & Juhl, TCM, TCM Enterprise)","(75683) Los Vientos Windpower IA, LLC",LV1A,8030,,514301,IT Software
"TCM (Gram & Juhl, TCM, TCM Enterprise)","(75676) Ironwood Windpower, LLC",IWWP,8030,,514301,IT Software
PAS - Procedure Automation System,"(75736) Deriva Energy Services, LLC",DSOL,8030,DSOLITWSB,514301,IT Software
KPA fLEX,"(75736) Deriva Energy Services, LLC",DSOL,8030,DSOLITWSBC,514301,IT Software
Alteryx workflow (10 user est),"(75736) Deriva Energy Services, LLC",DSOL,8030,,514301,IT Software
Ascend (Qtrly Subscription) (15k per qtr + 36k annual),"(77079) Deriva Energy Sub I, LLC
(75752) Deriva Energy Wind, LLC
(75969) Deriva Energy Storage, LLC","DCS4: 25%
DWE1: 25%
STRG: 50%",8030,,514301,IT Software
Hitachi ABB Fundamental Curve Subscription ,"(77079) Deriva Energy Sub I, LLC
(75752) Deriva Energy Wind, LLC
(75969) Deriva Energy Storage, LLC","DCS4: 45%
DWE1: 45%
STRG: 10%",8030,,514301,IT Software
