,"CFO Groups Charging Guidelines (Underwriting, Treasury, Tax, Risk Mgmt., Office of CFO, Controller, Capital Markets)",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,"People Soft, Maximo and CAPS (until move to new AP System and IFS)",,,,,,,,,"Concur, Timesheets, Maximo, Basware, IFS",,,,,,,,,
Dept Name,Description,Oper Unit,Bus Unit,Resp Center,Account,Resource Type,Process ID,Project ,Activity,,Company id,Location,Department,Project,Activity,Expense Type,Account,Account Name,Account Group,
Underwriting,Salaries & Bonus,DSOL,75736,HW58,0920000,11000,SALARY,,,,"(75736) Deriva Energy Services, LLC",DSOL,8011,DSOL25G001,DSOL25G001.100.10,,512101,Salaries and Wages - Regular Hours - Salaried,Salary & Wages,
Underwriting,Mobile,DSOL,75736,HW58,0921100,40007,EMPEXP,,,,"(75736) Deriva Energy Services, LLC",DSOL,8011,,,Cellular Service (PMD),513105,Telecom - Cellular Service,Communications (IT & Telecoms),
Underwriting,Training,DSOL,75736,HW58,0921200,30000,TRNGSEM,,,,"(75736) Deriva Energy Services, LLC",DSOL,8011,,,Employee Training,517501,Employee Training,Employee Related Expenses,
Underwriting,Travel,DSOL,75736,HW58,0921100,40000,TRVLEXP,,,,"(75736) Deriva Energy Services, LLC",DSOL,8011,,,Other Transportation,517100,Transportation - Other,Travel,
Underwriting,Parking,DSOL,75736,HW58,0921100,40000,TRVLEXP,,,,"(75736) Deriva Energy Services, LLC",DSOL,8011,,,Parking,517102,Transportation - Tolls and Parking,Travel,
Underwriting,Conferences,DSOL,75736,HW58,0921100,30000,TRNGSEM,,,,"(75736) Deriva Energy Services, LLC",DSOL,8011,,,Conferences and Seminars,517400,Conferences and Seminars,Employee Related Expenses,
Underwriting,Membership,DSOL,75736,HW58,0921100,49002,MEMDUES,,,,"(75736) Deriva Energy Services, LLC",DSOL,8011,,,Memberships,517600,Memberships,Employee Related Expenses,
Underwriting,Conferences,DSOL,75736,HW58,0921100,30000,TRNGSEM,,,,"(75736) Deriva Energy Services, LLC",DSOL,8011,,,Conferences and Seminars,517400,Conferences and Seminars,Employee Related Expenses,
Underwriting,Contractors,DSOL,75736,HW58,0923000,69000,CONTLAB,,,,"(75736) Deriva Energy Services, LLC",DSOL,8011,,,,515220,Consultant- Staff Augmentation,Consultant fees,
Treasury,Salaries & Bonus,DSOL,75736,HW59,0920000,11000,SALARY,,,,"(75736) Deriva Energy Services, LLC",DSOL,8012,DSOL25G001,DSOL25G001.100.10,,512101,Salaries and Wages - Regular Hours - Salaried,Salary & Wages,
Treasury,Mobile,DSOL,75736,HW59,0921100,40007,EMPEXP,,,,"(75736) Deriva Energy Services, LLC",DSOL,8012,,,Cellular Service (PMD),513105,Telecom - Cellular Service,Communications (IT & Telecoms),
Treasury,Training,DSOL,75736,HW59,0921200,30000,TRNGSEM,,,,"(75736) Deriva Energy Services, LLC",DSOL,8012,,,Employee Training,517501,Employee Training,Employee Related Expenses,
Treasury,Travel,DSOL,75736,HW59,0921100,40000,TRVLEXP,,,,"(75736) Deriva Energy Services, LLC",DSOL,8012,,,Other Transportation,517100,Transportation - Other,Travel,
Treasury,Parking,DSOL,75736,HW59,0921100,40000,TRVLEXP,,,,"(75736) Deriva Energy Services, LLC",DSOL,8012,,,Parking,517102,Transportation - Tolls and Parking,Travel,
Treasury,Conferences,DSOL,75736,HW59,0921100,30000,TRNGSEM,,,,"(75736) Deriva Energy Services, LLC",DSOL,8012,,,Conferences and Seminars,517400,Conferences and Seminars,Employee Related Expenses,
Treasury,Membership,DSOL,75736,HW59,0921100,49002,MEMDUES,,,,"(75736) Deriva Energy Services, LLC",DSOL,8012,,,Memberships,517600,Memberships,Employee Related Expenses,
Treasury,Conferences,DSOL,75736,HW59,0921100,30000,TRNGSEM,,,,"(75736) Deriva Energy Services, LLC",DSOL,8012,,,Conferences and Seminars,517400,Conferences and Seminars,Employee Related Expenses,
Treasury,Contractors,DSOL,75736,HW59,0923000,69000,CONTLAB,,,,"(75736) Deriva Energy Services, LLC",DSOL,8012,,,,515220,Consultant- Staff Augmentation,Consultant fees,
Treasury,Bank Fees,DSOL,75736,HW59,0930200,34001,BANKFEE,,,,"(75736) Deriva Energy Services, LLC",DSOL,8012,,,,513600,Bank charges & fees,Other Fees & charges,
