Description,Oper Unit,Bus Unit,Resp Center,Account,Resource Type,Process ID,Project ,Activity,,Company ID,Location,Department,Project,Expense Type,Account,Account Name
Travel,DSOL,75736,HW61,0921100,40000,TRVLEXP,,,,"(75736) Deriva Energy Services, LLC",DSOL,8014,DSOL25G001,Other Transportation,517100,Transportation - Other
Parking,DSOL,75736,HW61,0921100,40000,TRVLEXP,,,,"(75736) Deriva Energy Services, LLC",DSOL,8014,DSOL25G001,Parking,517102,Transportation - Tolls and Parking
Conferences,DSOL,75736,HW61,0921100,30000,TRNGSEM,,,,"(75736) Deriva Energy Services, LLC",DSOL,8014,DSOL25G001,Conferences and Seminars,517400,Conferences and Seminars
Membership,DSOL,75736,HW61,0921100,49002,MEMDUES,,,,"(75736) Deriva Energy Services, LLC",DSOL,8014,DSOL25G001,Memberships,517600,Memberships
Conferences,DSOL,75736,HW61,0921100,30000,TRNGSEM,,,,"(75736) Deriva Energy Services, LLC",DSOL,8014,DSOL25G001,Conferences and Seminars,517400,Conferences and Seminars
Contractors,DSOL,75736,HW61,0923000,69000,CONTLAB,,,,"(75736) Deriva Energy Services, LLC",DSOL,8014,DSOL25G001,,515220,Consultant- Staff Augmentation
EHS Audit,DSOL,75736,HW61,0920000,69700,OSSERIN ,,,,"(75736) Deriva Energy Services, LLC",DSOL,8014,DSOL25G001,,515203,Consultant Safety
Corporate Insurance Policy,DSOL,75736,HW61,0401100,71002,INSOOPS,,,,"(75736) Deriva Energy Services, LLC",DSOL,8014,DSOL25G001,,513501,Insurance - Liability
Insurance Claim Support ,DSOL,75736,HW61,0401100,71002,INSOOPS,,,,"(75736) Deriva Energy Services, LLC",DSOL,8014,DSOL25G001,,513504,Insurance - Risk
SOX Vendor - GT,DSOL,75736,HW61,0401100,71001,INSOOPS,,,,"(75736) Deriva Energy Services, LLC",DSOL,8014,DSOL25G001,,515213,Consultant Financial Services
Salaries & Bonus,DSOL,75736,HW62,0920000,11000,SALARY,,,,"(75736) Deriva Energy Services, LLC",DSOL,8015,DSOL25G001,,512101,Salaries and Wages - Regular Hours - Salaried
Mobile,DSOL,75736,HW62,0921100,40007,EMPEXP,,,,"(75736) Deriva Energy Services, LLC",DSOL,8015,DSOL25G001,Cellular Service (PMD),513105,Telecom - Cellular Service
Training,DSOL,75736,HW62,0921200,30000,TRNGSEM,,,,"(75736) Deriva Energy Services, LLC",DSOL,8015,DSOL25G001,Employee Training,517501,Employee Training
Travel,DSOL,75736,HW62,0921100,40000,TRVLEXP,,,,"(75736) Deriva Energy Services, LLC",DSOL,8015,DSOL25G001,Other Transportation,517100,Transportation - Other
Parking,DSOL,75736,HW62,0921100,40000,TRVLEXP,,,,"(75736) Deriva Energy Services, LLC",DSOL,8015,DSOL25G001,Parking,517102,Transportation - Tolls and Parking
Conferences,DSOL,75736,HW62,0921100,30000,TRNGSEM,,,,"(75736) Deriva Energy Services, LLC",DSOL,8015,DSOL25G001,Conferences and Seminars,517400,Conferences and Seminars
Membership,DSOL,75736,HW62,0921100,49002,MEMDUES,,,,"(75736) Deriva Energy Services, LLC",DSOL,8015,DSOL25G001,Memberships,517600,Memberships
Conferences,DSOL,75736,HW62,0921100,30000,TRNGSEM,,,,"(75736) Deriva Energy Services, LLC",DSOL,8015,DSOL25G001,Conferences and Seminars,517400,Conferences and Seminars
Subscriptions,DSOL,75736,HW62,0921100,30000,SUBSCRP,,,,"(75736) Deriva Energy Services, LLC",DSOL,8015,DSOL25G001,Newspapers & Magazines Subscription,517601,Newspapers and Magazines Subscription
TSA Cost,DSOL,75736,HW62,0920000,11000,SALARY,,,,"(75736) Deriva Energy Services, LLC",DSOL,8015,DSOL25G001,,512101,Salaries and Wages - Regular Hours - Salaried
TSA Cost,DSOL,75736,HW62,0921100,66001,UTILSOU,,,,"(75736) Deriva Energy Services, LLC",DSOL,8015,DSOL25G001,Telephone Service,513102,Telecom - Telephone
Salaries & Bonus,DSOL,75736,HW15,0920000,11000,SALARY,,,,"(75736) Deriva Energy Services, LLC",DSOL,8016,DSOL25G001,,512101,Salaries and Wages - Regular Hours - Salaried
Mobile,DSOL,75736,HW15,0921100,40007,EMPEXP,,,,"(75736) Deriva Energy Services, LLC",DSOL,8016,DSOL25G001,Cellular Service (PMD),513105,Telecom - Cellular Service
Training,DSOL,75736,HW15,0921200,30000,TRNGSEM,,,,"(75736) Deriva Energy Services, LLC",DSOL,8016,DSOL25G001,Employee Training,517501,Employee Training
Travel,DSOL,75736,HW15,0921100,40000,TRVLEXP,,,,"(75736) Deriva Energy Services, LLC",DSOL,8016,DSOL25G001,Other Transportation,517100,Transportation - Other
Parking,DSOL,75736,HW15,0921100,40000,TRVLEXP,,,,"(75736) Deriva Energy Services, LLC",DSOL,8016,DSOL25G001,Parking,517102,Transportation - Tolls and Parking
Conferences,DSOL,75736,HW15,0921100,30000,TRNGSEM,,,,"(75736) Deriva Energy Services, LLC",DSOL,8016,DSOL25G001,Conferences and Seminars,517400,Conferences and Seminars
Membership,DSOL,75736,HW15,0921100,49002,MEMDUES,,,,"(75736) Deriva Energy Services, LLC",DSOL,8016,DSOL25G001,Memberships,517600,Memberships
Conferences,DSOL,75736,HW15,0921100,30000,TRNGSEM,,,,"(75736) Deriva Energy Services, LLC",DSOL,8016,DSOL25G001,Conferences and Seminars,517400,Conferences and Seminars
Contractors,DSOL,75736,HW15,0923000,69000,CONTLAB,,,,"(75736) Deriva Energy Services, LLC",DSOL,8016,DSOL25G001,,515220,Consultant- Staff Augmentation
Sales/Use Tax Consulting,DSOL,75736,HW15,0408191,71001,OTHTAX,,,,"(75736) Deriva Energy Services, LLC",DSOL,8016,DSOL25G001,,515214,Consultant Taxes
Property Tax Consulting,DSOL,75736,HW15,0408121,91004,PROPTAX,,,,"(75736) Deriva Energy Services, LLC",DSOL,8016,DSOL25G001,,515214,Consultant Taxes
Corporate Audit Fees,DSOL,75736,HW15,0928029,60005,AUDIT,,,,"(75736) Deriva Energy Services, LLC",DSOL,8016,DSOL25G001,,515300,Audit - Financial Statements
Salaries & Bonus,DSOL,75736,HW24,0920000,11000,SALARY,,,,"(75736) Deriva Energy Services, LLC",DSOL,8017,DSOL25G001,,512101,Salaries and Wages - Regular Hours - Salaried
Mobile,DSOL,75736,HW24,0921100,40007,EMPEXP,,,,"(75736) Deriva Energy Services, LLC",DSOL,8017,DSOL25G001,Cellular Service (PMD),513105,Telecom - Cellular Service
Training,DSOL,75736,HW24,0921200,30000,TRNGSEM,,,,"(75736) Deriva Energy Services, LLC",DSOL,8017,DSOL25G001,Employee Training,517501,Employee Training
Travel,DSOL,75736,HW24,0921100,40000,TRVLEXP,,,,"(75736) Deriva Energy Services, LLC",DSOL,8017,DSOL25G001,Other Transportation,517100,Transportation - Other
Parking,DSOL,75736,HW24,0921100,40000,TRVLEXP,,,,"(75736) Deriva Energy Services, LLC",DSOL,8017,DSOL25G001,Parking,517102,Transportation - Tolls and Parking
Conferences,DSOL,75736,HW24,0921100,30000,TRNGSEM,,,,"(75736) Deriva Energy Services, LLC",DSOL,8017,DSOL25G001,Conferences and Seminars,517400,Conferences and Seminars
Compliance System Conversion,DSOL,75736,HW24,0921400,36000,ITHARD,,,,"(75736) Deriva Energy Services, LLC",DSOL,8017,DSOL25G001,Outside Services Hardware Maintenance,515121,Outside Services Hardware Maintenance
Salaries & Bonus,DSOL,75736,HW68,0920000,11000,SALARY,,,,"(75736) Deriva Energy Services, LLC",DSOL,8018,,,512101,Salaries and Wages - Regular Hours - Salaried
Mobile,DSOL,75736,HW68,0921100,40007,EMPEXP,,,,"(75736) Deriva Energy Services, LLC",DSOL,8018,,Cellular Service (PMD),513105,Telecom - Cellular Service
Training,DSOL,75736,HW68,0921200,30000,TRNGSEM,,,,"(75736) Deriva Energy Services, LLC",DSOL,8018,,Employee Training,517501,Employee Training
Travel,DSOL,75736,HW68,0921100,40000,TRVLEXP,,,,"(75736) Deriva Energy Services, LLC",DSOL,8018,,Other Transportation,517100,Transportation - Other
Parking,DSOL,75736,HW68,0921100,40000,TRVLEXP,,,,"(75736) Deriva Energy Services, LLC",DSOL,8018,,Parking,517102,Transportation - Tolls and Parking
Conferences,DSOL,75736,HW68,0921100,30000,TRNGSEM,,,,"(75736) Deriva Energy Services, LLC",DSOL,8018,,Conferences and Seminars,517400,Conferences and Seminars
Membership,DSOL,75736,HW68,0921100,49002,MEMDUES,,,,"(75736) Deriva Energy Services, LLC",DSOL,8018,,Memberships,517600,Memberships
Conferences,DSOL,75736,HW68,0921100,30000,TRNGSEM,,,,"(75736) Deriva Energy Services, LLC",DSOL,8018,,Conferences and Seminars,517400,Conferences and Seminars
Contractors,DSOL,75736,HW68,0923000,69000,CONTLAB,,,,"(75736) Deriva Energy Services, LLC",DSOL,8018,,,515220,Consultant- Staff Augmentation
Intercontinental Exchange Holding Inc,DSOL,75736,HW68,0807000,36004,ITSOFT,,,,"(75736) Deriva Energy Services, LLC",DSOL,8018,,Software Expenses,514301,IT Software
Genscape ,DSOL,75736,HW68,0921400,36004,ITSOFT,,,,"(75736) Deriva Energy Services, LLC",DSOL,8018,,Software Expenses,514301,IT Software
REC Trades,DSOL,75736,HW68,0401100,71001,,,,,"(75736) Deriva Energy Services, LLC",DSOL,8018,,,515213,Consultant Financial Services
Salaries & Bonus,DSOL,75736,HW49,0920000,11000,SALARY,,,,"(75736) Deriva Energy Services, LLC",DSOL,8023,DSOL25G001,,512101,Salaries and Wages - Regular Hours - Salaried
Mobile,DSOL,75736,HW49,0921100,40007,EMPEXP,,,,"(75736) Deriva Energy Services, LLC",DSOL,8023,DSOL25G001,Cellular Service (PMD),513105,Telecom - Cellular Service
Training,DSOL,75736,HW49,0921200,30000,TRNGSEM,,,,"(75736) Deriva Energy Services, LLC",DSOL,8023,DSOL25G001,Employee Training,517501,Employee Training
Travel,DSOL,75736,HW49,0921100,40000,TRVLEXP,,,,"(75736) Deriva Energy Services, LLC",DSOL,8023,DSOL25G001,Other Transportation,517100,Transportation - Other
Parking,DSOL,75736,HW49,0921100,40000,TRVLEXP,,,,"(75736) Deriva Energy Services, LLC",DSOL,8023,DSOL25G001,Parking,517102,Transportation - Tolls and Parking
Conferences,DSOL,75736,HW49,0921100,30000,TRNGSEM,,,,"(75736) Deriva Energy Services, LLC",DSOL,8023,DSOL25G001,Conferences and Seminars,517400,Conferences and Seminars
Membership,DSOL,75736,HW49,0921100,49002,MEMDUES,,,,"(75736) Deriva Energy Services, LLC",DSOL,8023,DSOL25G001,Memberships,517600,Memberships
