Route Code (CAPS),Description,Route Code (Basware)
DEGSWWOOD2,"Wildwood Solar II , LLC",WDW2SOL
DEGSWILWSO,"Wildwood Solar 1 , LLC",WDWDSOL
DEGSWHITKR,"Colonial Eagle Solar, LLC (a.k.a. Whitakers)",WHTKSOL
DEGSWINTSO,"Winton Solar, LLC",WINTSOL
DEGSWILDFL,Wildflower Solar,WLDFSOL
DEGSWOODLD,"Woodland Solar, LLC",WOODSOL
DEGSHLSTSO,"Holstein Solar, LLC",XHOLSOL
DEGSAPTOP,,TOPWWND
DEGSCATAMT,DEGS Catamount,
DEGSCOSMOS,DEGSCOSMOS,DSSOCORP
DEGSPANOCH,,DSSOCORP
DEGSSOLRNC,,
DEGSWDCSCM,,
DEGSWDCSF2,Frontier II Wind Construction Project,
DEGSWDCSFR,Frontier I Wind Construction Project,
DEGSWDCSIW,,
DEGSWDCSL3,,
DEGSWDCSL4,,
DEGSWDCSL5,,
DEGSWDCSLA,,
DEGSWDCSLB,,
DEGSWDCSLH,,
DEGSWDCSLY,Ledyard Wind Construction,
DEGSWDCSME,DEGS Mesteno Wind Construction Project,
DEGSWDCSMY,Maryneal Wind Construction Project,
DEGSWDCSNA,,
DEGSWDOPOC,Ocotillo,
DEGSWDOPSS,,
DEGSWINDGN,,
DEGSWINPO,,
DEGSXCEL,RENEWABLE SERVICES - XCEL,
DEOHCRC,,
NM-CAP1,,
