LOCATION,LOCATION NAME,COMPANY,PROJECT_ID,NAME,DESCRIPTION,ACTIVITY_SEQ,PLAN_START,PLAN_FINISH,PROGRAM_ID,ACTIVITY_NO,DESCRIPTION,PROJECT_ACTIVITY,,Project (NS),Activity (NS),Activity Desc(NS)
PPJK,"Pumpjack Solar I, LLC",75550,PPJK25P001,Modules O&M: Preventative Mntce,Modules O&M: Preventative Mntce,100022372,1/1/2025,3/31/2026,OM,10,General,PPJK25P001.100.10,2025 load addition,PPJKOM,OM601,OM - Panels OM: Preventative Mntce
PPJK,"Pumpjack Solar I, LLC",75550,PPJK25P002,Modules O&M: Minor Corrective,Modules O&M: Minor Corrective,100022242,1/1/2025,3/31/2026,OM,10,General,PPJK25P002.100.10,2025 load addition,PPJKOM,OM603,OM - Panels OM: Minor Corrective
PPJK,"Pumpjack Solar I, LLC",75550,PPJK25P003,Modules O&M: Major Corrective,Modules O&M: Major Corrective,100022175,1/1/2025,3/31/2026,OM,10,General,PPJK25P003.100.10,2025 load addition,PPJKOM,OM604,OM - Panels OM: Major Corrective
PPJK,"Pumpjack Solar I, LLC",75550,PPJK25P004,Modules O&M: Panel Cleaning,Modules O&M: Panel Cleaning,100022307,1/1/2025,3/31/2026,OM,10,General,PPJK25P004.100.10,2025 load addition,PPJKOM,OM602,OM - Panels OM: Panel Cleaning
BATL,"SoINCPower5, LLC (Battleboro)",75551,BATL25B001,BoP: Elec BoP: Corrective,BoP: Elec BoP: Corrective,100021146,1/1/2025,3/31/2026,OM,10,General,BATL25B001.100.10,2025 load addition,BATLOM,OM502,OM - BoP: Elec BoP: Corrective
BATL,"SoINCPower5, LLC (Battleboro)",75551,BATL25B002,BoP: Elec BoP: Preventative,BoP: Elec BoP: Preventative,100021237,1/1/2025,3/31/2026,OM,10,General,BATL25B002.100.10,2025 load addition,BATLOM,OM501,OM - BoP: Elec BoP: Preventative
BATL,"SoINCPower5, LLC (Battleboro)",75551,BATL25B003,BoP: Met Mast/Met Station BoP,BoP: Met Mast/Met Station BoP,100021329,1/1/2025,3/31/2026,OM,10,General,BATL25B003.100.10,2025 load addition,BATLOM,OM503,OM - BoP: Met Mast/Met Station BoP
BATL,"SoINCPower5, LLC (Battleboro)",75551,BATL25B004,BoP: Vegetation Management ,BoP: Vegetation Management ,100021401,1/1/2025,3/31/2026,OM,10,General,BATL25B004.100.10,2025 load addition,BATLOM,OM504,OM - BoP: Vegetation Management 
BATL,"SoINCPower5, LLC (Battleboro)",75551,BATL25B005,BoP: Civil BoP,BoP: Civil BoP,100021055,1/1/2025,3/31/2026,OM,10,General,BATL25B005.100.10,2025 load addition,BATLOM,OM505,OM - BoP: Civil BoP
BATL,"SoINCPower5, LLC (Battleboro)",75551,BATL25G002,Preventative Mntce: Site Non-Tech,Preventative Mntce: Site Non-Tech,100021781,1/1/2025,3/31/2026,OM,10,General,BATL25G002.100.10,2025 load addition,BATLOM,OM202,OM - Preventative Mntce: Site Non-Tech
BATL,"SoINCPower5, LLC (Battleboro)",75551,BATL25G005,Solar O&M: Minor Corrective,Solar O&M: Minor Corrective,100021714,1/1/2025,3/31/2026,OM,10,General,BATL25G005.100.10,2025 load addition,BATLOM,OM203,OM - Solar OM: Minor Corrective
BATL,"SoINCPower5, LLC (Battleboro)",75551,BATL25G006,Preventative Mntce: Site ,Preventative Mntce: Site ,100021854,1/1/2025,3/31/2026,OM,10,General,BATL25G006.100.10,2025 load addition,BATLOM,OM201,OM - Preventative Mntce: Site 
BATL,"SoINCPower5, LLC (Battleboro)",75551,BATL25G007,Ops Support: Site Specific,Ops Support: Site Specific,100022424,1/1/2025,3/31/2026,OM,10,General,BATL25G007.100.10,2025 load addition,BATLOM,OM710,OM - Ops Support: Site Specific
BATL,"SoINCPower5, LLC (Battleboro)",75551,BATL25G008,Issuance Fee,Issuance Fee,100022525,1/1/2025,3/31/2026,OM,10,General,BATL25G008.100.10,2025 load addition,BATLOM,OM706,OM - Issuance Fee
BATL,"SoINCPower5, LLC (Battleboro)",75551,BATL25G009,Community Benefit,Community Benefit,100022625,1/1/2025,3/31/2026,OM,10,General,BATL25G009.100.10,2025 load addition,BATLOM,OM701,OM - Community Benefit
BATL,"SoINCPower5, LLC (Battleboro)",75551,BATL25G011,Environmental Compliance,Environmental Compliance,100022713,1/1/2025,3/31/2026,OM,10,General,BATL25G011.100.10,2025 load addition,BATLOM,OM702,OM - Environmental Compliance
